recipe_id,canonical_name,aliases,region_codes,cuisine_family,status,visibility,core_ingredients,supported_evidence_scopes,promotion_blockers,source_id,source_title,source_url,source_claim_scopes
r106-jp-aichi-mukago-gohan,むかごご飯,むかご饭;爱知むかごご飯,JP-AICHI,aichi-mukago-rice,recipe_fact_checked,研究记录（非公开可执行）,白米;糯米;むかご;昆布;盐,appliance;identity;ingredients;process;quantity,liquid;time,S-R106-JP-AICHI-MUKAGO-GOHAN-1,むかごご飯,https://www.pref.aichi.jp/shokuiku/shokuikunet/mind/recipe/recipe010.html,identity;ingredients;quantity;process;appliance
maff-akita-tenko-azuki-sekihan,てんこ小豆の赤飯,天生小豆赤饭,JP-AKITA,akita-tenko-azuki-sekihan,recipe_fact_checked,研究记录（非公开可执行）,糯米;天生小豆;砂糖;酒;盐,identity;ingredients;process;quantity,liquid;appliance;time,S-MAFF-AKITA-TENKO-AZUKI-SEKIHAN-1,てんこ小豆の赤飯,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/29_10_akita.html,identity;ingredients;quantity;process
asmi-pink-salmon-rice-bowls,Pink Salmon Rice Bowls (One-Pot Rice Cooker Meal),阿拉斯加粉红鲑鱼电饭煲饭;粉红鲑鱼一锅饭,US-AK,alaska-salmon-rice-cooker,recipe_fact_checked,研究记录（非公开可执行）,米;粉红鲑鱼;南瓜;羽衣甘蓝;蟹味菇;蚝油;泰式甜辣酱;芝麻油;鸡蛋,appliance;identity;ingredients;liquid;process;quantity;time,safety,S-R130-ASMI-PINK-SALMON-RICE-BOWLS-1,Pink Salmon Rice Bowls (One-Pot Rice Cooker Meal),https://www.alaskaseafood.org/recipe/pink-salmon-rice-bowls-one-pot-rice-cooker-meal/,identity;ingredients;quantity;liquid;process;appliance;time
wuhu-zharou-steamed-rice,芜湖渣肉蒸饭,—,CN-AH,anhui-regional-rice,identity_verified,研究记录（非公开可执行）,米;渣肉,identity;ingredients,process,S-CN-AH-WUHU-ZHAROU-1,芜湖市五道菜品入选省级招牌菜,https://ct.wuhu.gov.cn/xwzx/bmyw/8267834.html,identity;ingredients
global-argentina-nea-arroz-pollo,Guiso de arroz con pollo (NEA),东北地区鸡肉炖饭,AR-NEA,argentina-nea-rice-stew,recipe_fact_checked,研究记录（非公开可执行）,鸡肉;米;洋葱;甜椒;胡萝卜;番茄泥;土豆,appliance;identity;ingredients;liquid;process;quantity,time;safety,S-R125-ARGENTINA-NEA-ARROZ-POLLO-1,Recetario NEA: Guiso de arroz con pollo,https://www.argentina.gob.ar/sites/default/files/2020/09/pnpa_-_2021_-_recetario_nea.pdf,identity;ingredients;quantity;liquid;process;appliance
qld-one-pot-beans-rice,One Pot Beans and Rice,昆士兰一锅豆饭,AU-QLD,australia-one-pot-rice,recipe_fact_checked,研究记录（非公开可执行）,糙米;三豆罐头;番茄罐头;洋葱;蒜;烟熏红椒,appliance;identity;ingredients;liquid;process;quantity;time,,S-R126-QLD-BEANS-RICE-1,One Pot Beans and Rice,https://hw.qld.gov.au/healthy-recipes/one-pot-beans-and-rice-recipe/,identity;ingredients;quantity;liquid;process;appliance;time
baise-zhuang-five-color-sticky-rice,百色壮族五色糯米饭,—,CN-GX-BAISE,baise-zhuang-five-color-sticky-rice,recipe_fact_checked,研究记录（非公开可执行）,糯米;红蓝植物叶;姜黄;枫叶,identity;ingredients;process,quantity;liquid;appliance;time,S-GX-BAISE-ZHUANG-FIVE-COLOR-RICE-1,五色糯米饭,https://www.gxbszx.gov.cn/html/news-view-167967.html,identity;ingredients;process
huairou-lianqiaofan,怀柔敛巧饭,敛巧饭;百家饭,CN-BJ,beijing-huairou-lianqiaofan,recipe_fact_checked,研究记录（非公开可执行）,小米;玉米;肉;冻豆腐;萝卜干,appliance;identity;ingredients;process,quantity;liquid;time,S-BJ-HUAIROU-LIANQIAOFAN-1,斂巧飯習俗,https://www.beijing.gov.cn/gate/big5/www.beijing.gov.cn/renwen/bjgk/hrgk/fy/202212/t20221220_2881127.html,identity;ingredients;process;appliance
huairou-lianqiaofan,怀柔敛巧饭,敛巧饭;百家饭,CN-BJ,beijing-huairou-lianqiaofan,recipe_fact_checked,研究记录（非公开可执行）,小米;玉米;肉;冻豆腐;萝卜干,appliance;identity;ingredients;process,quantity;liquid;time,S-BJ-HUAIROU-LIANQIAOFAN-2,正月十六‘敛巧饭’ 怀柔区汤河口乡间‘烟火气’渐浓,https://www.bjwmb.gov.cn/wmdt/hrq/10020626.html,identity;ingredients;process;appliance
global-irga-risoto-frango-legumes,Risoto de Frango com Legumes,鸡肉蔬菜烩饭,BR-RS,brazil-risotto,recipe_fact_checked,研究记录（非公开可执行）,米;鸡肉;西兰花;红椒;洋葱;奶酪;蔬菜高汤,appliance;identity;ingredients;liquid;process;quantity,time;safety,S-R125-IRGA-RISOTO-FRANGO-LEGUMES-1,Risoto de Frango com Legumes,https://irga.rs.gov.br/risoto-de-frango-com-legumes,identity;ingredients;quantity;liquid;process;appliance
global-fnde-arroz-colorido-soy,Arroz Colorido com Carne de Soja,大豆蛋白彩色饭,BR-TO,brazil-school-rice,recipe_fact_checked,研究记录（非公开可执行）,米;大豆蛋白;胡萝卜;玉米;葡萄干;番茄,appliance;identity;ingredients;process;quantity;time,liquid,S-R125-FNDE-ARROZ-COLORIDO-SOY-1,Arroz Colorido com Carne de Soja,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/campanhas/concurso-melhores-receitas/receitas/to-1/receita_escola_blandina.pdf/,identity;ingredients;quantity;process;appliance;time
guizhou-buyi-flower-glutinous-rice,布依花糯米饭,—,CN-GZ,buyi-flower-glutinous-rice,identity_verified,研究记录（非公开可执行）,糯米,identity;ingredients,process,S-GZ-BUYI-FLOWER-RICE-STANDARD-1,食品安全地方标准/企业标准登记信息,https://wjw.guizhou.gov.cn/zwgk/zdlyxx/spypbz/202104/t20210414_78927706.html,identity
guizhou-buyi-flower-glutinous-rice,布依花糯米饭,—,CN-GZ,buyi-flower-glutinous-rice,identity_verified,研究记录（非公开可执行）,糯米,identity;ingredients,process,S-GZ-BUYI-FLOWER-RICE-CULTURE-1,布依族传统节日与花糯米饭,https://www.neac.gov.cn/seac/c102690/201901/1132144.shtml,identity;ingredients
cantonese-mushroom-chicken-claypot-rice,冬菇滑鸡饭,香菇滑鸡煲仔饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,丝苗米;鸡肉;冬菇,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-1,番禺记事-秋冬时节瓦罉飘香,https://www.panyu.gov.cn/ztzx/fzqx/133q/content/post_10674182.html,identity;ingredients
cantonese-mushroom-chicken-claypot-rice,冬菇滑鸡饭,香菇滑鸡煲仔饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,丝苗米;鸡肉;冬菇,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-2,DB44/T 2423-2023《粤菜餐厅西关风情特色服务规范》,https://std.samr.gov.cn/db/search/stdDBDetailed?id=FCE664C973E2154EE05397BE0A0A886A,identity
cantonese-mushroom-chicken-claypot-rice,冬菇滑鸡饭,香菇滑鸡煲仔饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,丝苗米;鸡肉;冬菇,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-3,DB44/T 2423-2023《粤菜餐厅西关风情特色服务规范》全文,https://com.gd.gov.cn/attachment/0/513/513488/4095266.pdf,identity;ingredients
cantonese-mushroom-chicken-claypot-rice,冬菇滑鸡饭,香菇滑鸡煲仔饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,丝苗米;鸡肉;冬菇,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-KAIPING-1,央视《味道》聚焦！赤坎煲仔饭：一口非遗烟火，百年侨乡记忆,https://www.kaiping.gov.cn/jmkpsckz/gkmlpt/content/post_3394460.html?jump=true,identity;ingredients
cantonese-mushroom-chicken-claypot-rice,冬菇滑鸡饭,香菇滑鸡煲仔饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,丝苗米;鸡肉;冬菇,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-TAFT-CHICKEN-RICE-1,香菇滑鸡饭,https://taft.moa.gov.tw/cp-1050-1589-8c557-1.html,identity;ingredients
cantonese-mushroom-chicken-claypot-rice,冬菇滑鸡饭,香菇滑鸡煲仔饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,丝苗米;鸡肉;冬菇,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-SAFETY-TEMPERATURES-1,Cook to a Safe Minimum Internal Temperature,https://www.foodsafety.gov/food-safety-charts/safe-minimum-internal-temperatures,safety
cantonese-mushroom-chicken-claypot-rice,冬菇滑鸡饭,香菇滑鸡煲仔饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,丝苗米;鸡肉;冬菇,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-HK-TOWNGAS-MUSHROOM-CHICKEN-RICE-1,明火煮饭：北菇滑鸡饭,https://www.towngasappliance.com/newsletter/ricecooking/c03.php,identity;ingredients;quantity;liquid;process;time;appliance
cantonese-mushroom-chicken-claypot-rice,冬菇滑鸡饭,香菇滑鸡煲仔饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,丝苗米;鸡肉;冬菇,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-TEFAL-MUSHROOM-CHICKEN-RICE-1,Spherical Pot Series：北菇滑雞飯,https://tefal-club-prod.s3.ap-southeast-1.amazonaws.com/books/January2020/RpMXFXt8Wb6fJfZlqN3y.pdf,identity;ingredients;quantity;liquid;process;appliance
cantonese-mushroom-chicken-claypot-rice,冬菇滑鸡饭,香菇滑鸡煲仔饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,丝苗米;鸡肉;冬菇,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-WOL-CHICKEN-MUSHROOM-CLAYPOT-RICE-1,Chicken and Mushroom Clay Pot Rice,https://thewoksoflife.com/chicken-mushroom-clay-pot-rice/,identity;ingredients;quantity;liquid;process;appliance;time
cantonese-cured-meat-claypot-rice,腊味煲仔饭,腊味煲饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,米;腊肉;腊肠,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-1,番禺记事-秋冬时节瓦罉飘香,https://www.panyu.gov.cn/ztzx/fzqx/133q/content/post_10674182.html,identity;ingredients
cantonese-cured-meat-claypot-rice,腊味煲仔饭,腊味煲饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,米;腊肉;腊肠,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-2,DB44/T 2423-2023《粤菜餐厅西关风情特色服务规范》,https://std.samr.gov.cn/db/search/stdDBDetailed?id=FCE664C973E2154EE05397BE0A0A886A,identity
cantonese-cured-meat-claypot-rice,腊味煲仔饭,腊味煲饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,米;腊肉;腊肠,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-3,DB44/T 2423-2023《粤菜餐厅西关风情特色服务规范》全文,https://com.gd.gov.cn/attachment/0/513/513488/4095266.pdf,identity;ingredients
cantonese-cured-meat-claypot-rice,腊味煲仔饭,腊味煲饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,米;腊肉;腊肠,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-KAIPING-1,央视《味道》聚焦！赤坎煲仔饭：一口非遗烟火，百年侨乡记忆,https://www.kaiping.gov.cn/jmkpsckz/gkmlpt/content/3/3394/post_3394460.html?jump=true,identity;ingredients
cantonese-cured-meat-claypot-rice,腊味煲仔饭,腊味煲饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,米;腊肉;腊肠,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-YANGPU-1,美食极简主义：椰青竹荪鸡汤煲 vs 煲仔饭,https://yptimes.shyp.gov.cn/resfile/2013-07-20/03/03.pdf,identity;ingredients
cantonese-cured-meat-claypot-rice,腊味煲仔饭,腊味煲饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,米;腊肉;腊肠,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-TW-AFA-CURED-RICE-1,农粮署北区分署电子书：臘味煲飯,https://ebook.afa.gov.tw/tefd/ebook5/ebook5-1.html,ingredients;quantity;liquid;process;appliance;time
cantonese-cured-meat-claypot-rice,腊味煲仔饭,腊味煲饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,米;腊肉;腊肠,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-SAFETY-CURED-MEAT-1,食品安全消费提示（腊味选购篇）,https://www.zc.gov.cn/gzzcscjg/gkmlpt/content/10/10653/post_10653964.html,safety
cantonese-cured-meat-claypot-rice,腊味煲仔饭,腊味煲饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,米;腊肉;腊肠,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-HK-HKJC-CURED-RICE-1,臘味煲仔飯（四位用）,https://member.hkjc.com/member/image/2020/11/Home_cooking_recipe_Claypot.pdf,identity;ingredients;quantity;liquid;process;appliance
cantonese-cured-meat-claypot-rice,腊味煲仔饭,腊味煲饭,CN-GD,cantonese-claypot-rice,executable,可执行研究记录（非公开）,米;腊肉;腊肠,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-WOL-HK-CURED-CLAYPOT-RICE-1,Hong Kong Clay Pot Rice,https://thewoksoflife.com/hong-kong-style-clay-pot-rice/,identity;ingredients;quantity;liquid;process;appliance;time
cantonese-black-bean-pork-rib-claypot-rice,豉汁排骨饭,豉汁排骨煲仔饭,CN-GD,cantonese-claypot-rice,recipe_fact_checked,研究记录（非公开可执行）,丝苗米;排骨;豆豉,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-1,番禺记事-秋冬时节瓦罉飘香,https://www.panyu.gov.cn/ztzx/fzqx/133q/content/post_10674182.html,identity;ingredients;process;appliance
cantonese-black-bean-pork-rib-claypot-rice,豉汁排骨饭,豉汁排骨煲仔饭,CN-GD,cantonese-claypot-rice,recipe_fact_checked,研究记录（非公开可执行）,丝苗米;排骨;豆豉,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-2,DB44/T 2423-2023《粤菜餐厅西关风情特色服务规范》,https://std.samr.gov.cn/db/search/stdDBDetailed?id=FCE664C973E2154EE05397BE0A0A886A,identity
cantonese-black-bean-pork-rib-claypot-rice,豉汁排骨饭,豉汁排骨煲仔饭,CN-GD,cantonese-claypot-rice,recipe_fact_checked,研究记录（非公开可执行）,丝苗米;排骨;豆豉,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-GD-COOKPOT-BLACK-BEAN-RIB-RICE-1,豉汁排骨煲仔飯,https://www.cookpot.com.tw/cookbook/1252.html,identity;ingredients;quantity;liquid;process;time;appliance
cantonese-black-bean-pork-rib-claypot-rice,豉汁排骨饭,豉汁排骨煲仔饭,CN-GD,cantonese-claypot-rice,recipe_fact_checked,研究记录（非公开可执行）,丝苗米;排骨;豆豉,appliance;identity;ingredients;liquid;process;quantity;safety;time,,S-SAFETY-TEMPERATURES-1,Cook to a Safe Minimum Internal Temperature,https://www.foodsafety.gov/food-safety-charts/safe-minimum-internal-temperatures,safety
changning-kas-dai-bamboo-rice,昌宁卡斯傣族竹筒饭,—,CN-YN-BAOSHAN-CHANGNING-KASI,changning-kas-dai-bamboo-rice,identity_verified,研究记录（非公开可执行）,米（具体构成待补）,identity;ingredients,process,S-YN-CHANGNING-KAS-DAI-BAMBOO-RICE-1,好品保山｜卡斯泼水粑粑、竹筒饭,https://www.baoshan.gov.cn/info/5730/10356244.htm,identity;ingredients
zhejiang-changxing-salted-pork-xiuhuajin-rice,咸肉绣花锦菜饭,—,CN-ZJ,changxing-salted-pork-xiuhuajin-rice,identity_verified,研究记录（非公开可执行）,,identity,ingredients;process,S-ZJ-CHANGXING-XIUHUAJIN-RICE-1,长兴特色美食：咸肉绣花锦菜饭,https://zhuanti.mct.gov.cn/xcss2024_shjlzzxc/zhejiang/detail/6814.html,identity
chaoshan-ge-rice,潮汕戈饭,潮汕香饭,CN-GD,chaoshan-ge-rice,recipe_fact_checked,研究记录（非公开可执行）,新鲜米饭;潮汕肉卷;猪肉粒;玉米;香菇,identity;ingredients;process,quantity;liquid;appliance;time;safety,S-GD-CHAOSHAN-GE-RICE-1,12种好吃到令广州人丧失理智的米饭！,https://gzwxb.gov.cn/context/contextId/201941,identity;ingredients;process
chaoshan-ke-rice,潮汕炣饭,炣饭;潮汕炣香饭,CN-GD,chaoshan-ke-rice,recipe_fact_checked,研究记录（非公开可执行）,新大米;猪肉或五花肉;白萝卜或卷心菜;板栗或芋头;花生或虾米/虾仁,appliance;identity;ingredients;process;quantity;time,liquid;safety,S-GD-CHAOSHAN-KE-RICE-CMA-1,中国传统二十四节气：小雪,https://www.cma.gov.cn/2011xzt/2022zt/24jq/xx/index.html,identity;ingredients;process;appliance
chaoshan-ke-rice,潮汕炣饭,炣饭;潮汕炣香饭,CN-GD,chaoshan-ke-rice,recipe_fact_checked,研究记录（非公开可执行）,新大米;猪肉或五花肉;白萝卜或卷心菜;板栗或芋头;花生或虾米/虾仁,appliance;identity;ingredients;process;quantity;time,liquid;safety,S-GD-CHAOSHAN-KE-RICE-PENGPAI-1,潮汕‘炣’的是什么饭？,https://www.thepaper.cn/newsDetail_forward_10044153,identity;ingredients;quantity;process;appliance;time
raoping-gaotang-pork-rice,高堂焖,高堂猪肉饭,CN-GD,chaoshan-salty-rice,recipe_fact_checked,研究记录（非公开可执行）,米饭;猪肉;调味料,appliance;identity;ingredients;process,quantity;liquid;time;safety,S-GD-RAOPING-GAOTANG-RICE-1,高堂焖,https://www.raoping.gov.cn/xqqk/gzjs/content/post_3843958.html,identity;ingredients;process;appliance
chayu-dengren-hand-grab-rice,察隅僜人手抓饭,僜人手抓饭,CN-XZ-NYINGCHI-CHAYU,chayu-dengren-hand-grab-rice,identity_verified,研究记录（非公开可执行）,,identity,ingredients;process,S-XZ-CHAYU-DENGREN-HAND-GRAB-STANDARD-1,《察隅僜人手抓饭》地方标准,https://std.samr.gov.cn/db/search/stdDBDetailed?id=11A468BC3DEDD965E06397BE0A0A5222,identity
chengkou-cured-pork-rice,煮腊肉饭,—,CN-CQ,chengkou-cured-pork-rice,recipe_fact_checked,研究记录（非公开可执行）,腊肉;青豌豆;胡萝卜;糯米,identity;ingredients;process;time,quantity;liquid;appliance;safety,S-CQ-CHENGKOU-CURED-PORK-RICE-1,文学｜城口老腊肉,https://m.12371.gov.cn/content/2023-07/22/content_446437.html,identity;ingredients;process;time
wansheng-potato-green-bean-kongfan,万盛箜饭,洋芋四季豆箜饭,CN-CQ-WANSHENG,chongqing-kongfan,identity_verified,研究记录（非公开可执行）,洋芋;四季豆,identity;ingredients,process,S-WANSHENG-POTATO-GREEN-BEAN-KONGFAN-1,小议名村志中“风土民情”的记述内容及注意事项——以万盛经开区为例,https://dfz.cq.gov.cn/fzyd/llyj/202401/t20240105_12790863.html,identity;ingredients
hechuan-yinmi-black-chicken-congee,合川阴米乌鸡粥,阴米乌鸡粥,CN-CQ-HECHUAN,chongqing-regional-congee,recipe_fact_checked,研究记录（非公开可执行）,阴米;乌鸡,identity;ingredients;process,quantity;liquid;appliance;time,S-HC-YINMI-BLACK-CHICKEN-CONGEE-1,合川阴米乌鸡粥,https://www.hc.gov.cn/bmjd/bm_100475/whlyw/zwxx_101408/dt_101410/202602/t20260204_15378363.html,identity;ingredients;process
