library_index,id,name,status,cuisine,family_id,form,staples,core_ingredients,unknown_role,optional_ingredients,generation_optional_ingredients,liquid_ingredients,substitution_slots,discouraged,technique,ratio_rules,safety_rules,total_time_minutes,purposes,source_count,static_status,verification_status,missing_fields
1,chinese-congee,中式基础粥,approved,中式,family-rice-porridge,粥,大米,水,,鸡高汤｜酱油｜芝麻油｜白胡椒｜葱｜香菜｜姜｜芝麻,酱油｜芝麻油｜葱｜姜,水,"{""slot"":""煮粥液体"",""replaces"":[""水""],""allowed"":[""鸡高汤""]}","{""ingredients"":[""生肉厚片"",""大块鱼肉""],""reason_type"":""safety"",""reason"":""不能只靠关火后的粥温把厚块肉或鱼焖熟。""}",煮沸转小火｜慢熬出胶｜最后调味,大米与液体约为1:11（克与毫升）｜液体减少过快时少量补热水,加入生肉或生鱼时必须继续加热至完全熟透｜冷藏剩粥再次食用前要彻底加热,40,quick｜pantry｜batch,1,complete,pending,
2,simple-chicken-biryani,简化一锅鸡肉香料饭,approved,南亚风味,family-spiced-rice,焖饭,大米,鸡肉｜洋葱,,黄油｜月桂叶｜姜黄｜豆蔻｜肉桂｜咖喱酱｜葡萄干｜鸡高汤｜香菜,黄油｜姜黄｜咖喱酱｜鸡高汤,鸡高汤,"{""slot"":""鸡肉部位"",""replaces"":[""鸡肉""],""allowed"":[""鸡腿肉"",""鸡胸肉""]}｜{""slot"":""果干"",""replaces"":[""葡萄干""],""allowed"":[""杏干"",""蔓越莓干""]}","{""ingredients"":[""大量叶菜"",""高含水瓜类""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏焖饭的吸水比例。""}",炒香洋葱｜鸡肉短煎｜加盖焖饭｜离火静置,原始300克:600克:850毫升的大米、鸡肉、高汤比例等比例缩放；每1份使用大米100克、鸡肉200克、鸡高汤280克，按份数同比缩放｜焖好后离火静置再翻松,鸡肉中心必须完全熟透且不见粉红｜处理生鸡后清洁刀具和案板,45,quick｜fresh｜pantry｜batch,1,complete,pending,
3,jollof-rice,西非番茄香料饭,approved,西非风味,family-tomato-rice,焖饭,大米,番茄｜甜椒｜洋葱,甜椒,番茄膏｜辣椒｜植物油｜鸡高汤｜咖喱粉｜百里香,植物油｜鸡高汤｜咖喱粉｜百里香,鸡高汤,"{""slot"":""炖饭高汤"",""replaces"":[""鸡高汤""],""allowed"":[""蔬菜高汤"",""水""]}｜{""slot"":""辣味"",""replaces"":[""辣椒""],""allowed"":[""辣椒粉"",""不放辣""]}","{""ingredients"":[""黄瓜"",""冬瓜"",""大量蘑菇""],""reason_type"":""texture_water"",""reason"":""高含水配菜会稀释番茄酱底并让米饭过软。""}",打碎番茄椒｜炒浓酱底｜小火焖饭｜翻松米粒,大米与高汤体积约1:1，换算为每1份使用大米100克、鸡高汤130克，按份数同比缩放｜番茄酱底先收浓再加米,使用鸡高汤时保持沸腾后再转小火｜剩饭应尽快降温冷藏并彻底复热,40,pantry｜fresh｜batch,1,complete,pending,
4,creole-jambalaya,克里奥尔番茄鸡肉什锦饭,approved,美国路易斯安那风味,family-tomato-rice,焖饭,大米,番茄｜鸡肉｜芹菜,芹菜,黄油｜鸡高汤｜蘑菇｜月桂叶｜罗勒｜百里香｜孜然,黄油｜鸡高汤｜蘑菇｜百里香,鸡高汤,"{""slot"":""熟禽肉"",""replaces"":[""鸡肉""],""allowed"":[""火鸡肉""]}｜{""slot"":""菌菇"",""replaces"":[""蘑菇""],""allowed"":[""口蘑"",""不放菌菇""]}","{""ingredients"":[""生鸡大块"",""带壳海鲜""],""reason_type"":""safety"",""reason"":""这份短时焖饭以熟禽肉为基准，不能直接塞入难熟的大块生食材。""}",芹菜炒软｜合锅煮沸｜加盖焖饭｜取出月桂叶,大米与高汤体积约为1:2.25｜番茄汁计入总液体,替换为生禽肉时必须先煎熟再合锅｜食用前确认禽肉已彻底加热,35,pantry｜fresh｜batch,1,complete,pending,
5,soy-lentil-vegetable-stew,大豆扁豆西兰花炖锅,approved,家常纯素炖锅,family-legume-vegetable-stew,炖锅,,红扁豆｜大豆蛋白块｜西兰花｜红洋葱,红扁豆｜大豆蛋白块｜红洋葱,橄榄油｜蒜｜营养酵母｜花生｜葵花籽｜黑胡椒｜姜黄｜辣椒｜葛缕子｜姜,橄榄油｜蒜｜姜黄｜黑胡椒,水,"{""slot"":""坚果或种子"",""replaces"":[""花生""],""allowed"":[""葵花籽"",""不加坚果或种子""]}","{""ingredients"":[""未泡发的整粒干豆"",""大块根茎""],""reason_type"":""timing"",""reason"":""会明显延长这道快速炖锅的熟成时间。""}",同锅炒香洋葱与蒜｜大豆蛋白块与红扁豆同锅软化｜加入量化沸水｜最后5分钟加入西兰花煮至刚熟,1大份使用大豆蛋白块40克、红扁豆80克、西兰花250克、沸水500克｜所有留在成品中的液体按份数等比例缩放并列入食材表,红扁豆必须煮至软烂无硬芯｜大豆蛋白块必须吸水变软并彻底加热,30,quick｜pantry｜batch,1,complete,pending,
6,chicken-black-eyed-pea-stew,鸡肉黑眼豆番茄饭锅,approved,香辣炖锅风味,family-rice-legume-pot,饭锅,大米,黑眼豆（罐头沥干）｜鸡肉｜番茄｜洋葱,黑眼豆（罐头沥干）,植物油｜胡萝卜｜芹菜｜蒜｜姜｜辣椒｜咖喱粉｜柠檬汁｜鸡高汤,植物油｜胡萝卜｜蒜｜鸡高汤,鸡高汤,"{""slot"":""鸡肉替代"",""replaces"":[""鸡肉""],""allowed"":[""不放鸡肉""]}｜{""slot"":""炖煮液体"",""replaces"":[""鸡高汤""],""allowed"":[""蔬菜高汤"",""水""]}","{""ingredients"":[""未预煮干黑眼豆""],""reason_type"":""timing"",""reason"":""干豆不预煮会与米饭和鸡肉的熟成时间错位。""}｜{""ingredients"":[""大量叶菜"",""高含水瓜类""],""reason_type"":""texture_water"",""reason"":""这道饭锅已按高汤与番茄控制总液体，额外大量出水食材会使米饭过软。""}",同锅炒香根茎菜｜加入罐头沥干黑眼豆｜合锅慢炖｜最后调味,原始来源一杯大米配约两杯罐头黑眼豆｜一杯大米配约四杯高汤与番茄液体,鸡肉必须持续炖至中心完全熟透｜只使用罐头沥干或已充分煮熟的黑眼豆,40,pantry｜fresh｜batch,1,complete,pending,
7,lentil-potato-tomato-curry,扁豆土豆番茄咖喱,approved,印度风味,family-legume-vegetable-stew,炖锅,,红扁豆｜土豆｜番茄,红扁豆,黄油｜橄榄油｜月桂叶｜姜黄｜辣椒粉｜综合香料｜蜂蜜,植物油｜月桂叶｜姜黄｜综合香料,水,"{""slot"":""煎香油脂"",""replaces"":[""黄油""],""allowed"":[""植物油"",""人造黄油""]}｜{""slot"":""微甜平衡"",""replaces"":[""蜂蜜""],""allowed"":[""白糖"",""不加甜味""]}","{""ingredients"":[""整粒鹰嘴豆"",""大块南瓜""],""reason_type"":""timing"",""reason"":""硬豆或过大根茎会让成菜时间明显偏离红扁豆基准。""}",同锅炒香土豆和香料｜加入番茄和红扁豆｜加入量化水同锅炖熟｜取出月桂叶,红扁豆与水体积约为1:4，生成时水必须换算成数字克数｜土豆切小块以便与红扁豆同步熟成,土豆要炖至中心无硬芯｜月桂叶整片下锅时食用前取出,30,pantry｜fresh｜batch,1,complete,pending,
8,shakshuka-tomato-egg,番茄甜椒炖蛋,approved,中东风味,family-tomato-egg-pot,炖锅,,鸡蛋｜番茄｜甜椒,甜椒,橄榄油｜甜椒粉｜蒜｜辣椒｜黑胡椒｜欧芹,橄榄油｜甜椒粉｜蒜｜黑胡椒,,"{""slot"":""甜椒颜色"",""replaces"":[""甜椒""],""allowed"":[""红甜椒"",""黄甜椒""]}｜{""slot"":""辣味"",""replaces"":[""辣椒""],""allowed"":[""辣椒粉"",""不放辣""]}","{""ingredients"":[""大量高含水叶菜"",""冷冻蔬菜未沥水""],""reason_type"":""texture_water"",""reason"":""额外水分会让番茄酱底过稀，鸡蛋难以定型。""}",甜椒炒软｜番茄收汁｜每个鸡蛋单独挖窝｜小火炖至蛋白蛋黄完全凝固,原始来源使用六个番茄、一个大甜椒和六个鸡蛋；生产版每1份使用3个中等鸡蛋，去壳约150克，番茄300克、甜椒100克，按份数同比缩放｜窝数必须等于鸡蛋数，每个鸡蛋单独挖窝；酱底先收浓再放鸡蛋,鸡蛋必须熟透，蛋白和蛋黄完全凝固且不得流心｜接触生蛋液的器具不要直接接触熟食,25,quick｜pantry｜fresh,1,complete,pending,
9,texas-beef-chili,德州风味牛肉辣炖锅,approved,美国德州风味,family-legume-vegetable-stew,炖锅,,牛肉（粗绞）｜干辣椒,牛肉（粗绞）｜干辣椒,植物油｜牛至｜孜然｜辣椒粉｜蒜｜玉米粉｜辣椒酱,植物油｜牛至｜孜然｜玉米粉,水,"{""slot"":""炖煮肉类"",""replaces"":[""牛肉""],""allowed"":[""鹿肉""]}｜{""slot"":""收稠材料"",""replaces"":[""玉米粉""],""allowed"":[""碎玉米片""]}","{""ingredients"":[""番茄"",""豆类"",""大量甜椒"",""大量鲜辣椒""],""reason_type"":""taste"",""reason"":""这条德州风味基线以肉和少量干辣椒为核心，不把番茄、豆类或大量鲜辣椒混成另一家族。""}",粗绞牛肉同锅炒散5分钟｜加入干辣椒后加盖快炖20分钟｜分段调香｜用总水量中预留的水调玉米粉浆收稠5分钟,原始来源约1.3千克牛肉配4个干辣椒并供6至8份；40分钟生产版每1份使用粗绞牛肉200克、干辣椒3克、玉米粉5克、水50克，按份数同比缩放｜总水和预留水同时缩放：1份水50克、留10克；2份水100克、留20克；4份水200克、留40克；剩余水用于炖煮，不得另加水,粗绞牛肉必须炒散并炖至完全熟透，40分钟版不得使用难以软烂的牛肉块｜处理辣椒后洗手并避免触碰眼睛,40,fresh｜batch,1,complete,pending,
10,kari-ayam-coconut-chicken,印尼椰香鸡肉咖喱,approved,印尼风味,family-coconut-curry,咖喱锅,,鸡肉｜椰奶｜红葱头,椰奶｜红葱头,蒜｜姜｜香茅｜石栗｜青柠叶｜姜黄｜南姜｜棕榈糖｜辣椒｜虾酱,蒜｜姜｜香茅｜姜黄,椰奶,"{""slot"":""主蛋白"",""replaces"":[""鸡肉""],""allowed"":[""鱼肉"",""虾仁"",""羊肉""]}｜{""slot"":""葱香"",""replaces"":[""红葱头""],""allowed"":[""洋葱""]}","{""ingredients"":[""印度咖喱粉"",""大量番茄""],""reason_type"":""taste"",""reason"":""这条印尼风味依赖鲜香料酱与椰奶，不以咖喱粉或番茄作主味。""}",香料磨酱｜炒香料酱｜鸡肉煎色｜椰奶小炖,约450克鸡肉配240毫升椰奶｜椰奶加入后保持轻沸而非猛烈翻滚,鸡肉中心必须完全熟透｜换用鱼虾时按食材调整时间并确保彻底熟透｜含虾酱版本须明确甲壳类过敏原,40,fresh｜batch,1,complete,pending,
